artist_name,album_title,total_sales
Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",35.82
The Office,"The Office, Season 3",31.84
Chico Buarque,Minha Historia,26.73
Heroes,"Heroes, Season 1",25.87
Lost,"Lost, Season 2",25.87
Lenny Kravitz,Greatest Hits,25.74
Eric Clapton,Unplugged,24.75
Battlestar Galactica,"Battlestar Galactica, Season 3",23.88
Lost,"Lost, Season 3",21.89
Titãs,Acústico,21.78
Lost,"Lost, Season 1",19.9
Kiss,Greatest Kiss,19.8
The Who,My Generation - The Very Best Of The Who,18.81
Creedence Clearwater Revival,"Chronicle, Vol. 2",18.81
Caetano Veloso,Prenda Minha,18.81
Creedence Clearwater Revival,"Chronicle, Vol. 1",17.82
Os Paralamas Do Sucesso,Acústico MTV,17.82
Green Day,International Superhits,17.82
U2,Rattle And Hum,16.83
Guns N' Roses,Use Your Illusion I,16.83
Gene Krupa,Up An' Atom,16.83
R.E.M.,The Best Of R.E.M.: The IRS Years,16.83
Chico Science & Nação Zumbi,Afrociberdelia,15.84
U2,Instant Karma: The Amnesty International Campaign to Save Darfur,15.84
Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,14.85
Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,14.85
Antônio Carlos Jobim,Chill: Brazil (Disc 2),14.85
Eric Clapton,The Cream Of Clapton,14.85
Soundgarden,A-Sides,14.85
Green Day,American Idiot,14.85
Lost,"LOST, Season 4",13.93
Queen,Greatest Hits II,13.86
R.E.M.,New Adventures In Hi-Fi,13.86
Elis Regina,Elis Regina-Minha História,12.87
Faith No More,Angel Dust,12.87
Faith No More,Album Of The Year,12.87
Gilberto Gil,Quanta Gente Veio Ver (Live),12.87
O Terço,Compositores,12.87
Smashing Pumpkins,Rotten Apples: Greatest Hits,12.87
The Office,"The Office, Season 2",11.94
James Brown,Sex Machine,11.88
Tim Maia,Serie Sem Limite (Disc 2),11.88
Amy Winehouse,Back to Black,11.88
Metallica,Garage Inc. (Disc 2),11.88
Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],11.88
Bruce Dickinson,Chemical Wedding,11.88
Titãs,Volume Dois,11.88
Metallica,ReLoad,11.88
System Of A Down,Mezmerize,11.88
Os Paralamas Do Sucesso,Arquivo II,11.88
Queen,News Of The World,11.88
Tim Maia,Serie Sem Limite (Disc 1),11.88
Kiss,Unplugged [Live],10.89
Queen,Greatest Hits I,10.89
Iron Maiden,The X Factor,10.89
Various Artists,Vozes do MPB,10.89
Metallica,Kill 'Em All,10.89
Spyro Gyra,Heart of the Night,10.89
Body Count,Body Count,10.89
Metallica,Load,10.89
U2,The Best Of 1980-1990,10.89
Smashing Pumpkins,Judas 0: B-Sides and Rarities,10.89
U2,War,10.89
U2,B-Sides 1980-1990,10.89
